word,id,bow_freq
masuk rekening,,45
bagus cepat,,45
transfer kena,,45
kacau,504,45
mudah guna,,45
eror mulu,,44
to,517,44
ektp,531,44
sidik,518,44
erti,525,44
tombol,530,44
kredit,529,44
transaksi pakai,,44
merchant,521,44
keluar,524,44
user friendly,,44
anak muda,,44
saldo masuk,,44
cangih,514,44
gb,533,44
gede,526,44
keluh,528,44
notifikasi,515,44
kocak,512,44
jujur,513,44
tangap,523,44
lemot,522,44
wow,519,44
lambat buruk,,44
maintenance,516,44
wajib,532,44
ah,527,44
investasi,538,43
tangan,542,43
jago,535,43
jari,539,43
cabang,541,43
mending pakai,,43
tipu,536,43
tlp,537,43
situ,540,43
buka rek,,43
token,543,43
jt,534,43
jga,546,42
force,547,42
bagus moga,,42
bisnis,544,42
nungu jam,,42
wa,545,42
lancar jaya,,41
kunci,552,41
pakai ribet,,41
beli pulsa,,41
bagus suka,,41
ilang,550,41
inovasi,551,41
indonesia,549,41
dompet,548,41
event,553,41
and,554,40
ulas,555,40
bikin akun,,40
langkah,561,40
emosi,556,40
bikin rekening,,40
baik sistem,,40
mudah praktis,,40
segi,559,40
pakai kartu,,40
force close,,40
uang masuk,,40
bagus nih,,40
nomor hp,,40
transaksi lancar,,40
trimakasih,557,40
opsi,558,40
gelap,560,40
lbh,565,39
daftar ribet,,39
satset,568,39
sesi habis,,39
sidik jari,,39
status,563,39
baru baru,,39
tolong tambah,,39
transfer uang,,39
apnya,569,39
very,570,39
aja,567,39
telepon,572,39
yuk,562,39
pakai transaksi,,39
halaman,566,39
money,574,39
gampang banget,,39
ngantri,573,39
hadap,564,39
mybca,571,39
pas buka,,39
kah,575,39
ok bagus,,39
my,577,38
lot,578,38
bagus pakai,,38
mo,580,38
jenis,583,38
nyaman pakai,,38
kirain,581,38
jaman,587,38
banget deh,,38
murah,582,38
undang,589,38
cal cs,,38
nya,584,38
gabisa buka,,38
nomor rekening,,38
syariah,585,38
puas banget,,38
ama,586,38
pikir,579,38
ngasih,576,38
semenjak,588,38
aju pinjam,,38
optimalisasi,592,37
banget buka,,37
suka pakai,,37
coba kali,,37
sma,599,37
bolak,596,37
mudah bagus,,37
transaksi transfer,,37
temen,598,37
kiri,593,37
plis,591,37
aq,590,37
aplikasi mudah,,37
benerin,595,37
up emoney,,37
brp,594,37
upload,597,37
banget daftar,,36
selfi,609,36
banget verifikasi,,36
banyakin,600,36
tambahin fitur,,36
banget nih,,36
gtu,604,36
bebas admin,,36
kanan,601,36
apl,611,36
administrasi,607,36
lupa pasword,,36
perangkat,602,36
kyc,612,36
proses daftar,,36
konfirmasi,603,36
pdhal,605,36
pay,606,36
nungu antri,,36
komplain,610,36
rating,608,36
tunai kartu,,36
buka aplikasi,,36
transfer rekening,,36
mesin atm,,36
suport,617,35
bagus deh,,35
fitur bayar,,35
mudah aman,,35
ngebantu,615,35
simpan uang,,35
daftar mudah,,35
bukti,616,35
mantab,613,35
debit fisik,,35
fiturfitur,614,35
siang,624,34
buka akun,,34
nga,627,34
buka tabung,,34
susah verifikasi,,34
simple mudah,,34
iklan,626,34
byk,620,34
pakai mudah,,34
lah,625,34
pemberitahuan,619,34
efisien,622,34
upgrade,621,34
khusus,618,34
bagus dah,,34
tu,623,34
no rekening,,34
otp masuk,,34
bagus lambat,,33
moga sukses,,33
tagih,637,33
amanah,628,33
mw,634,33
main,632,33
nge,638,33
neng banget,,33
ajar,630,33
videocal,639,33
bawa,629,33
lucu,635,33
log out,,33
mohon maf,,33
is the,,33
dn,631,33
hubung cs,,33
dana masuk,,33
pos,636,33
rekening mudah,,33
sekian,633,33
dalam,640,33
pakai kode,,32
lumayan bagus,,32
minus,649,32
android,645,32
isi data,,32
deposit,647,32
kyk,654,32
sesuai butuh,,32
andal,643,32
antre,657,32
ambil uang,,32
thank,652,32
aktifin,646,32
konvensional,641,32
puluh,648,32
jamin,644,32
cepet banget,,32
aman nyaman,,32
nunguin,651,32
suruh nungu,,32
masuk tolong,,32
pisah,650,32
sunguh,642,32
neo,658,32
bom,659,32
masukin kode,,32
beres,655,32
tunai setor,,32
bad,656,32
blu,653,32
masuk verifikasi,,31
baharu,671,31
mudah proses,,31
paket data,,31
mudah bantu,,31
transaksi bagus,,31
ampe,666,31
pakek,664,31
cinta,668,31
rekomended,670,31
sabar,667,31
parah,660,31
ulang kali,,31
bagus cuman,,31
kecewa banget,,31
mntap,676,31
cepat transaksi,,31
sebenernya,663,31
lambat berat,,31
sempurna,674,31
haduh,672,31
face,661,31
lambat lambat,,31
alah,665,31
cape,669,31
stuck,673,31
enak banget,,31
pencet,662,31
bgus,675,31
customer service,,30
kode verifikasi,,30
fitur tarik,,30
berat lambat,,30
dapat,687,30
transaksi online,,30
fitur lengkap,,30
center,682,30
transaksi uang,,30
shope pay,,30
hm,690,30
blibli,679,30
ngerti,689,30
tunai biaya,,30
mode,691,30
debit card,,30
nanya,684,30
diskon,678,30
baik aplikasi,,30
pas daftar,,30
use,677,30
tangung,686,30
cs ramah,,30
jadi,688,30
vidcal,685,30
koneksi putus,,30
cair,681,30
gaji,680,30
pending,683,30
masuk saldo,,30
koneksi internet,,30
pakai biaya,,30
tunai pakai,,29
fix,698,29
warna,709,29
lama,693,29
verifikasi data,,29
vc cs,,29
layan bagus,,29
alami,706,29
lho,704,29
fre biaya,,29
aduh,694,29
rencana,701,29
pakai bagus,,29
henti,697,29
request,700,29
banget bantu,,29
scan qris,,29
nambah,695,29
bagus simple,,29
code,708,29
busuk,696,29
moga baik,,29
kaum,710,29
berkalikali,699,29
tarik uang,,29
kaya gin,,29
ngulang,692,29
kelar,703,29
silah,702,29
melulu,707,29
responya,705,29
biaya adminya,,29
lambat masuk,,28
verivikasi,723,28
mutasi,711,28
cal center,,28
langan,712,28
biaya adm,,28
