word,bow_freq,bow_rank,tfidf_avg,tfidf_rank,rank_diff
mudah banget,71,397,0.001244415528400644,361,36
jaring bagus,71,398,0.001038358413302988,433,-35
saldo potong,71,399,0.0008926141525168671,494,-95
animasi,71,400,0.0010456402602855785,430,-30
lokasi,71,401,0.0009867750023019553,450,-49
akun blokir,71,402,0.000989487460159134,448,-46
masuk susah,71,403,0.001086579822879151,414,-11
kaga,70,404,0.0011014571052152626,408,-4
nyoba,70,405,0.001081488564856565,416,-11
aplikasi berat,70,406,0.0010661676837522324,421,-15
customer,70,407,0.000921204115667552,479,-72
log in,70,408,0.0009686178205973657,461,-53
kesini,70,409,0.0010782314600210243,419,-10
alam,70,410,0.0011785505037985712,381,29
gratis biaya,69,411,0.0009709794866724629,459,-48
tari,69,412,0.0010869301269609225,413,-1
overal,69,413,0.0011236870749872778,398,15
shopepay,69,414,0.0011265453899553125,396,18
produk,69,415,0.0012002488128604895,370,45
kartu fisik,69,416,0.0011389005691891949,394,22
bantu mudah,69,417,0.0015200157359919982,306,111
hadeh,68,418,0.0009728506642683272,457,-39
cash,68,419,0.0013484889663640412,336,83
masuk masuk,68,420,0.000920708867847773,481,-61
it,68,421,0.0011857585127710295,376,45
tuju,68,422,0.0009403387142210988,467,-45
tim,68,423,0.0009127876769245237,485,-62
kualitas,68,424,0.00127618942814312,354,70
jaya,68,425,0.0013288790717108025,340,85
mah,68,426,0.0010309224171001377,436,-10
buang,68,427,0.0008977136060833578,492,-65
teman,67,428,0.0009211640954880685,480,-52
dikit,67,429,0.0010324176025478468,434,-5
apknya,67,430,0.0010540471243203448,426,4
close,67,431,0.0009859365632320035,451,-20
pagi,67,432,0.0009055248149197836,488,-56
gara,67,433,0.0008588549255187018,516,-83
tunai kena,67,434,0.0008503551997323329,524,-90
deteksi,67,435,0.0010093011720862556,444,-9
muda,67,436,0.0011166338158616798,402,34
neng,67,437,0.0011043862708445752,405,32
urus,67,438,0.001344795674802543,337,101
bayar pakai,66,439,0.0008264589019657779,541,-102
takut,66,440,0.0008812335778124632,505,-65
kode referal,66,441,0.0008879612217903983,499,-58
ram,66,442,0.000927747926871626,474,-32
auto,66,443,0.0009617319311437234,463,-20
rugi,66,444,0.0009215296215574924,478,-34
urgent,65,445,0.0010158752722878096,441,4
berat banget,65,446,0.0009985252577428573,446,0
mati,65,447,0.0008617886124196449,514,-67
gagal mulu,65,448,0.0009081704570098004,486,-38
buru,65,449,0.0008672308912527681,509,-60
hati,64,450,0.000937131903609922,469,-19
bi,64,451,0.0008789514926672608,506,-55
gila,64,452,0.0009049172933579549,489,-37
developer,64,453,0.0009258020369538991,475,-22
shope,64,454,0.00084437038673185,532,-78
kl,63,455,0.0008461323971094305,530,-75
milik,63,456,0.0008601690501468185,515,-59
notif,63,457,0.0008200638311892137,545,-88
tangal,63,458,0.0008123777135668438,554,-96
donk,62,459,0.001117940565715023,400,59
makan,62,460,0.0008185612544281987,546,-86
cari,62,461,0.0008337263625785843,538,-77
cepat mudah,61,462,0.0013097442524985046,346,116
admin bulan,61,463,0.0007788867057175876,579,-116
info,61,464,0.0008111290116543722,555,-91
make,61,465,0.0007984505708825899,566,-101
utama,61,466,0.0008162766650478919,549,-83
narik,61,467,0.0009285668981801503,473,-6
fitur bagus,61,468,0.0009703491377470121,460,8
love,60,469,0.0014864816919239736,313,156
listrik,60,470,0.000983088924958578,453,17
verifikasi muka,60,471,0.000836677499216767,536,-65
isi saldo,60,472,0.000906321892203031,487,-15
friendly,60,473,0.0009836870083713267,452,21
device,60,474,0.000855087424897659,520,-46
kantor,60,475,0.0007731870055346276,583,-108
kesel,60,476,0.0008669775648385591,510,-34
